116       {RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0 RESERVED:ASSIGNMENT_RHS:INSERTED:global:this:1.0}: ClusterID = 116, Instances = 8, Complexity = 1, BasicChanges = 2, ProjectCount = 6
117       {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:CONDITION:REMOVED:global:falsey:1.0 RESERVED:STATEMENT:UPDATED:global:return:1.0}: ClusterID = 109, Instances = 8, Complexity = 1, BasicChanges = 3, ProjectCount = 7
118       {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:ASSIGNMENT_RHS:INSERTED:global:null:1.0}: ClusterID = 101, Instances = 8, Complexity = 2, BasicChanges = 2, ProjectCount = 6
119       {RESERVED:CONDITION:INSERTED:global:falsey:2.0 RESERVED:STATEMENT:UPDATED:global:var:2.0}: ClusterID = 100, Instances = 8, Complexity = 2, BasicChanges = 2, ProjectCount = 5
120       {RESERVED:ASSIGNMENT_RHS:INSERTED:global:false:2.0}: ClusterID = 50, Instances = 8, Complexity = 1, BasicChanges = 1, ProjectCount = 7
121       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:typeof:1.0 RESERVED:STATEMENT:UPDATED:global:var:1.0}: ClusterID = 206, Instances = 7, Complexity = 1, BasicChanges = 3, ProjectCount = 5
122       {RESERVED:ASSIGNMENT_RHS:REMOVED:global:true:1.0 RESERVED:STATEMENT:UPDATED:global:var:1.0}: ClusterID = 202, Instances = 7, Complexity = 1, BasicChanges = 2, ProjectCount = 5
123       {RESERVED:STATEMENT:INSERTED:global:return:2.0 RESERVED:CONDITION:INSERTED:global:falsey:2.0}: ClusterID = 157, Instances = 7, Complexity = 4, BasicChanges = 2, ProjectCount = 7
124       {RESERVED:METHOD_CALL:INSERTED:global:this:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 156, Instances = 7, Complexity = 2, BasicChanges = 2, ProjectCount = 7
125       {RESERVED:CONDITION:INSERTED:global:falsey:2.0 RESERVED:CONDITION:REMOVED:global:falsey:2.0}: ClusterID = 153, Instances = 7, Complexity = 2, BasicChanges = 2, ProjectCount = 6
126       {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:CONDITION:REMOVED:global:falsey:2.0}: ClusterID = 142, Instances = 7, Complexity = 2, BasicChanges = 2, ProjectCount = 5
127       {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:CONDITION:UPDATED:global:falsey:1.0}: ClusterID = 137, Instances = 7, Complexity = 1, BasicChanges = 2, ProjectCount = 6
128       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:falsey:2.0}: ClusterID = 129, Instances = 7, Complexity = 1, BasicChanges = 2, ProjectCount = 7
129       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:true:1.0}: ClusterID = 121, Instances = 7, Complexity = 1, BasicChanges = 2, ProjectCount = 6
130       {RESERVED:ARGUMENT:INSERTED:global:true:2.0}: ClusterID = 120, Instances = 7, Complexity = 2, BasicChanges = 1, ProjectCount = 5
131       {RESERVED:STATEMENT:UPDATED:global:var:1.0 METHOD:METHOD_CALL:INSERTED:global:toLowerCase:1.0}: ClusterID = 105, Instances = 7, Complexity = 1, BasicChanges = 2, ProjectCount = 6
132       {RESERVED:CONDITION:INSERTED:global:this:1.0}: ClusterID = 88, Instances = 7, Complexity = 1, BasicChanges = 1, ProjectCount = 7
133       {RESERVED:ASSIGNMENT_RHS:REMOVED:global:true:2.0}: ClusterID = 53, Instances = 7, Complexity = 2, BasicChanges = 1, ProjectCount = 6
134       {RESERVED:ARGUMENT:INSERTED:global:true:1.0 RESERVED:STATEMENT:UPDATED:global:var:1.0}: ClusterID = 40, Instances = 7, Complexity = 2, BasicChanges = 2, ProjectCount = 6
135       {METHOD:METHOD_CALL:INSERTED:global:stringify:1.0 CLASS:METHOD_CALL:INSERTED:global:JSON:1.0}: ClusterID = 18, Instances = 7, Complexity = 1, BasicChanges = 2, ProjectCount = 6
136       {METHOD:METHOD_CALL:REMOVED:global:replace:1.0 RESERVED:STATEMENT:UPDATED:global:return:1.0}: ClusterID = 217, Instances = 6, Complexity = 1, BasicChanges = 2, ProjectCount = 6
137       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:CONDITION:REMOVED:global:falsey:1.0}: ClusterID = 214, Instances = 6, Complexity = 1, BasicChanges = 3, ProjectCount = 3
138       {RESERVED:CONDITION:INSERTED:global:eq:1.0 RESERVED:CONDITION:REMOVED:global:eq:1.0}: ClusterID = 211, Instances = 6, Complexity = 1, BasicChanges = 2, ProjectCount = 6
139       {RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:METHOD_CALL:INSERTED:global:error:1.0}: ClusterID = 207, Instances = 6, Complexity = 2, BasicChanges = 2, ProjectCount = 4
140       {RESERVED:STATEMENT:INSERTED:global:var:1.0 RESERVED:CONDITION:INSERTED:global:falsey:2.0 RESERVED:STATEMENT:UPDATED:global:var:1.0}: ClusterID = 197, Instances = 6, Complexity = 2, BasicChanges = 3, ProjectCount = 5
141       {RESERVED:STATEMENT:INSERTED:global:return:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0 RESERVED:STATEMENT:UPDATED:global:return:1.0}: ClusterID = 195, Instances = 6, Complexity = 4, BasicChanges = 3, ProjectCount = 5
142       {RESERVED:STATEMENT:INSERTED:global:return:1.0 RESERVED:CONDITION:INSERTED:global:typeof:1.0}: ClusterID = 193, Instances = 6, Complexity = 2, BasicChanges = 2, ProjectCount = 6
143       {METHOD:METHOD_CALL:INSERTED:global:match:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 192, Instances = 6, Complexity = 1, BasicChanges = 2, ProjectCount = 6
