"","Cluster","nome_coluna","V1"
"55",20,"c(""RESERVED.ARGUMENT.REMOVED.global.this"", ""RESERVED.STATEMENT.UPDATED.global.new"")",18
"56",20,"c(""RESERVED.ARGUMENT.REMOVED.global.this"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"57",21,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",94
"58",21,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",13
"59",21,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",2
"60",21,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.CONDITION.REMOVED.global.typeof"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.PARAMETER_DECLARATION.INSERTED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"61",22,"c(""RESERVED.ASSIGNMENT_RHS.REMOVED.global.true"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",60
"62",22,"c(""RESERVED.ASSIGNMENT_RHS.REMOVED.global.true"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.ASSIGNMENT_LHS.UPDATED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"63",23,"c(""RESERVED.METHOD_CALL.INSERTED.global.this"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",60
"64",23,"c(""RESERVED.METHOD_CALL.INSERTED.global.this"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",2
"65",23,"c(""RESERVED.METHOD_CALL.INSERTED.global.this"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",1
"66",24,"c(""RESERVED.ASSIGNMENT_RHS.INSERTED.global.false"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",22
"67",24,"c(""RESERVED.ASSIGNMENT_RHS.INSERTED.global.false"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",3
"68",24,"c(""RESERVED.ASSIGNMENT_RHS.INSERTED.global.false"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",1
"69",25,"c(""METHOD.METHOD_CALL.INSERTED.global.concat"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",7
"70",25,"c(""METHOD.METHOD_CALL.INSERTED.global.concat"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"71",26,"c(""RESERVED.ASSIGNMENT_RHS.REMOVED.global.false"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",36
"72",26,"c(""RESERVED.ASSIGNMENT_RHS.REMOVED.global.false"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"73",27,"c(""FIELD.CONDITION.INSERTED.global.length"", ""RESERVED.STATEMENT.UPDATED.global.new"")",15
"74",27,"c(""FIELD.CONDITION.INSERTED.global.length"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"75",28,"c(""METHOD.METHOD_CALL.INSERTED.global.replace"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"")",72
